group,case,freq_hz,freq_location,incl_degree,incl_location,incl_detectable,damping_present,damping_location,rail2_speed,rail3_speed,freq_defect,speed_defect,dominant_freq_hz,dominant_axis,peak_magnitude,freq_x,freq_y,freq_z,mag_x,mag_y,mag_z,peak_z,signed_peak_z,peak_jerk,impulse_energy,rise_time,post_impact_rms,journey_duration,duration_delta,rms_full,rms_first_half,rms_second_half,rms_ratio
4,6,45,6,0,0,0,1,5,70,100,1,0,45.01023541453429,acc_y,0.3762056431768483,44.95905834186285,45.01023541453429,44.98464687819857,0.34896159438998164,0.3762056431768483,0.17927367501222136,2.909269332885742,1.288689885528439,65.27786422715863,0.8799463707640383,0.11,1.0606685747795035,39.169842018000004,-0.36027712399999956,1.6147383235874626,2.137862223531183,0.8014327813535903,2.6675502590752687
5,1,35,5,0,0,0,0,0,70,100,1,0,35.076195480819756,acc_z,0.5387689195213099,35.023646873357855,35.15501839201261,35.076195480819756,0.09891784551695715,0.13387759462360366,0.5387689195213099,3.897738456726074,-0.1890146259670391,90.99326908292275,1.7564504958970173,0.15,1.4415000930440205,38.210012000000006,-1.3201071419999977,1.7622465369894855,1.435055304852764,2.0378277691961175,0.7042083372035236
5,2,0,0,5,4,1,0,0,70,100,0,0,49.35373252439989,acc_z,0.08494756638209595,33.10472170931153,33.15747823793194,49.35373252439989,0.023007532691829636,0.04961469253092883,0.08494756638209595,18.583084106445312,0.08918510971579408,514.1117734382774,25.879220318461186,0.1,3.606226612447849,37.899995799,-1.630123343000001,1.2953313763320604,0.7422015820463868,1.6749621769568146,0.443115428071856
5,3,0,0,0,0,0,1,5,70,100,0,0,33.19608852290273,acc_y,0.04339319868008281,30.88008234688626,33.19608852290273,46.80905815748842,0.016798118785455406,0.04339319868008281,0.03885530448256782,2.2787046432495117,-0.5993351397739505,35.96491615202167,0.2976546363695613,0.2,0.6443588287025074,38.929931260000004,-0.6001878820000002,0.6207724974098812,0.6566551843171343,0.5826437586240875,1.1270268918143478
5,4,0,0,0,0,0,0,0,100,70,0,1,31.21196754563895,acc_z,0.048017346667239294,30.8316430020284,49.9239350912779,31.21196754563895,0.022135944213261895,0.04444837141410333,0.048017346667239294,2.0525670051574707,-0.4994010753859313,27.558856369678388,0.1496114416175845,0.25,0.47267414377156514,39.56000982,0.029890677999993898,0.6228085675495526,0.6572583059552709,0.5861853655992629,1.1212465280216428
5,5,50,6,4,4,1,0,0,70,100,1,0,49.97459349593496,acc_z,0.6673212355068818,47.6880081300813,47.6880081300813,49.97459349593496,0.12712253849335076,0.1816833940106349,0.6673212355068818,13.970430374145508,5.671099621731985,450.90593044628093,12.33195175052937,0.13,1.8429066949594222,39.408916000000005,-0.12120314199999882,1.5815507080524422,1.850929987774196,1.2552781815041447,1.4745177722728422
5,6,50,6,0,0,0,1,4,70,100,1,0,49.99999999999999,acc_z,0.36462628041898404,47.62262262262262,47.69769769769769,49.99999999999999,0.20379572181310948,0.2803296258181473,0.36462628041898404,8.037420272827148,3.155802043608224,264.75041727381364,0.7033669867288466,0.25,0.9846122043788588,39.989928666000004,0.45980952400000064,1.2546286985223243,1.592491693688296,0.781171440300653,2.0385943616620015
6,1,40,2,0,0,0,0,0,70,100,1,0,40.02551020408163,acc_z,0.6657438320416527,40.02551020408163,39.99999999999999,40.02551020408163,0.5065513134841727,0.35503027591783537,0.6657438320416527,6.564055442810059,1.1744905173522895,99.74731559481738,7.438175186368801,0.24,3.62231566532263,39.240069155,-0.2900499870000033,2.103483407239363,2.092807607486318,2.114126941917937,0.9899157737367092
6,2,0,0,0,5,0,0,0,70,100,0,0,33.25384207737149,acc_y,0.03673327087950193,34.47270800211976,33.25384207737149,28.13990461049284,0.02018357582461084,0.03673327087950193,0.03664436389515404,4.998350620269775,-3.482360635165114,128.28966818956712,0.690394102488615,0.25,1.0034379675956009,37.759725822,-1.7703933200000037,0.6467334372080664,0.6731758054979476,0.6191628319740368,1.0872354907863329
6,3,0,0,0,0,0,1,6,70,100,0,0,27.586206896551726,acc_z,0.0416815146483653,33.108633653098266,49.88332901218564,27.586206896551726,0.025502654131081513,0.0334918380924934,0.0416815146483653,2.2502269744873047,-0.6359375023274654,35.45168493025292,0.7124867066754507,0.24,1.0420900154736876,38.709756404000004,-0.820362738,0.6331613552659754,0.6406259660283546,0.6256037432353565,1.0240123607881717
6,4,0,0,0,0,0,0,0,30,60,0,1,28.85600455321571,acc_y,0.10147103274671355,28.85600455321571,28.85600455321571,48.26408651109847,0.020136324502672307,0.10147103274671355,0.027984075957651105,0.6575565338134766,-0.19761822581062344,33.8847811641753,0.11204983815068226,,0.47892874200608565,52.849966,13.319846857999998,0.6207005778290083,0.6571273305235947,0.5819528083694074,1.1291763199232963
6,5,30,6,0,5,0,0,0,70,100,1,0,29.974358974358974,acc_y,0.46723987169875686,29.974358974358974,29.974358974358974,30.025641025641026,0.45113399787141273,0.46723987169875686,0.3117677965763488,4.644468307495117,-1.1892622839536386,109.4992530013454,0.5214620067496557,0.25,0.9139452811586384,39.12996,-0.4001591420000068,1.622622286113623,2.195757910874302,0.6632945250996789,3.3103814787922863
6,6,30,6,0,0,0,1,5,70,100,1,0,30.049908064092463,acc_y,0.3745018099781278,30.07617546624639,30.049908064092463,29.91857105332283,0.331973975422947,0.3745018099781278,0.2716725061203496,2.90478515625,-2.0680743356864966,68.1429193254828,0.21903748840469434,0.24,0.5728569916848847,38.100239872,-1.4298792700000007,1.4367137096996183,1.955925121875032,0.54590878859682,3.5828789767287974
