group,case,damping_present,damping_location,freq_defect,rms_P1,rms_P2,rms_P3,rms_P4,rms_ratio_P1,rms_ratio_P2,rms_ratio_P3,rms_ratio_P4,min_rms_ratio,min_rms_ratio_phone
8,2,0,0,0,0.06973044451292605,0.04235207787406162,0.09176459663973363,0.029199294929681374,1.060806519063139,1.3695056296284283,1.897241339281619,0.13276799220752822,0.13276799220752822,P4
8,3,1,5,0,0.07361272798084739,0.04543827958304515,0.10243137458862427,0.029540804906473362,1.1198675452818745,1.4693016922251674,2.11777793860897,0.1343208240155121,0.1343208240155121,P4
8,4,0,0,0,0.06506820999792019,0.03169510578258171,0.08187648627094413,0.03106665632158193,0.9898801281378297,1.0248995558137288,1.692803762634291,0.14125880759624065,0.14125880759624065,P4
8,5,0,0,1,0.6819348387443205,0.18021491457631997,0.13183042169859302,0.9358793630021323,10.374247971159106,5.827467091205732,2.7256058979199063,4.255404942944266,2.7256058979199063,P3
8,6,1,5,1,0.8511661815783222,0.3090041323537773,0.2806125733884181,1.014004829227398,12.948757756118813,9.99202211743483,5.801690347366293,4.6106382222403965,4.6106382222403965,P4
9,1,0,0,1,0.6905274660253878,0.3398199632936095,0.10178187709952767,0.31499034477016247,10.504967273169955,10.988489258416,2.1043495192490345,1.4322481327239331,1.4322481327239331,P4
9,2,0,0,0,0.07560820112115563,0.023373176543530258,0.04583408447854506,0.0455001765095326,1.1502245999463112,0.755799915032458,0.9476238441086239,0.20688742980975472,0.20688742980975472,P4
9,3,1,6,0,0.05832163116968803,0.02321922419689988,0.04687354232958241,0.04499879076883246,0.8872446888780762,0.750821679819731,0.9691147292390989,0.2046076494837382,0.2046076494837382,P4
9,4,0,0,0,0.06601681770963276,0.018944720210533384,0.05417601108745702,0.046700749918551214,1.0043112600723425,0.6126004267656203,1.1200939316067062,0.21234638768517655,0.21234638768517655,P4
9,5,0,0,1,0.8971400231138411,0.6949712927438272,0.13898925701290188,0.9874130462184434,13.648156005304127,22.472736772750512,2.873615465844438,4.489726479411691,2.873615465844438,P3
9,6,1,4,1,0.820765485778153,0.5989529816688213,0.13104515243890183,0.8582030677734619,12.486273162565178,19.3678686254153,2.7093703849169746,3.902214025681857,2.7093703849169746,P3
